Donor Name,Campaign Name,Amount Donated,Payment Method,Donation Date,Donation Type
Emily Johnson,Annual Charity Drive,1407,Online Transfer,2025-01-01,Event
Emily Johnson,Winter Relief Fund,1203,Credit Card,2025-01-08,Event
Emily Johnson,Annual Charity Drive,1877,Check,2025-01-15,Online
Robert White,Spring Fundraiser,852,Credit Card,2025-01-22,Event
Robert White,Winter Relief Fund,1632,Cash,2025-01-29,Offline
Emily Johnson,Spring Fundraiser,565,Credit Card,2025-02-05,Event
Robert White,Winter Relief Fund,105,Check,2025-02-12,Event
Emily Johnson,Spring Fundraiser,345,Check,2025-02-19,Online
Emily Johnson,Annual Charity Drive,803,Cash,2025-02-26,Event
Emily Johnson,Winter Relief Fund,1074,Online Transfer,2025-03-05,Online
Michael Brown,Annual Charity Drive,1724,Cash,2025-03-12,Event
Alice Smith,Annual Charity Drive,1765,Cash,2025-03-19,Online
Alice Smith,Spring Fundraiser,1344,Check,2025-03-26,Offline
Emily Johnson,Spring Fundraiser,753,Check,2025-04-02,Online
Emily Johnson,Annual Charity Drive,855,Online Transfer,2025-04-09,Offline
John Doe,Annual Charity Drive,1200,Check,2025-04-16,Offline
Robert White,Winter Relief Fund,1590,Online Transfer,2025-04-23,Online
Michael Brown,Annual Charity Drive,447,Check,2025-04-30,Offline
Sarah Lee,Spring Fundraiser,1198,Online Transfer,2025-05-07,Online
Alice Smith,Spring Fundraiser,610,Credit Card,2025-05-14,Offline
